CustomerID,Gender,Age,SubscriptionType,MonthlySpend,TotalWatchTime,ComplaintCount,DaysSinceLastLogin,Churn,AvgSessionDuration,NumDevicesUsed,ContentPreferenceScore,ActiveDaysLastMonth,BingeWatchRatio,SkippedContentCount,DiscountReceived,LoyaltyScore,PlatformType,AdInteractionCount,ReferredFriendsCount,SocialMediaMentions
38,Male,31,Basic,18.82,22,2,5,0,195.55,4,86.0,23,0.96,11,16.26,0.2,Mobile,12.0,6,19
39,Male,27,Standard,11.93,4,0,6,0,38.42,2,97.0,0,4.0,8,18.67,6.74,Mobile,48.0,8,3
40,Male,29,Premium,42.8,43,2,36,1,272.45,4,42.0,28,1.54,18,19.24,3.78,Mobile,,3,10
41,Male,55,Standard,7.87,9,0,25,0,212.64,4,34.0,7,1.29,6,13.76,7.05,Mobile,44.0,9,6
42,Male,61,Standard,18.04,3,2,12,0,71.73,2,83.0,20,0.15,14,15.42,9.64,Mobile,6.0,9,4
43,Female,63,Standard,18.79,11,0,36,0,87.37,3,41.0,21,0.52,4,16.85,0.81,Mobile,43.0,7,19
44,Female,51,Premium,12.24,46,2,45,0,214.44,1,92.0,29,1.59,1,15.85,8.59,Web,45.0,0,18
45,Female,58,Basic,27.87,9,2,32,0,248.12,1,91.0,7,1.29,16,3.74,2.33,Mobile,20.0,5,4
46,Female,27,Standard,5.53,29,2,51,0,252.63,1,72.0,9,3.22,10,0.05,2.42,Mobile,2.0,6,18
47,Female,34,Basic,92.69999999999999,49,0,32,0,182.3,3,31.0,16,3.06,18,11.48,2.26,Mobile,37.0,9,2
48,Male,34,Standard,47.01,23,1,40,0,50.79,3,,0,23.0,18,12.5,2.703225244592871,Mobile,21.0,8,11
49,Female,20,Standard,18.97,4,1,8,0,246.42,4,,23,0.17,14,4.52,1.96,TV,12.0,1,18
50,Female,48,Basic,21.22,12,4,14,0,238.53,3,76.0,13,0.92,6,3.75,7.42,Web,35.0,7,12
51,Male,68,Basic,26.29,35,0,4,0,251.43,4,97.0,27,1.3,8,10.65,7.68,Web,30.0,3,3
52,Female,18,Standard,30.28,8,2,52,1,51.51,1,24.0,7,1.14,3,17.86,9.61,Mobile,28.0,4,0
53,Male,29,Basic,41.39,17,1,28,0,206.89,1,74.0,19,0.89,8,3.76,1.04,TV,13.0,7,19
54,Female,56,Basic,13.56,34,2,52,1,288.27,3,23.0,26,1.31,0,17.5,1.51,Mobile,40.0,6,17
55,Male,21,Premium,44.23,30,2,6,1,80.54,1,67.0,27,1.11,6,17.26,8.85,Mobile,13.0,2,0
56,Female,59,Basic,39.09,23,1,30,0,216.43,3,34.0,14,1.64,15,5.01,5.65,Mobile,4.0,4,5
57,Female,30,Standard,37.52,42,2,53,0,81.38,1,35.0,28,1.5,2,15.95,5.45,Mobile,1.0,3,3
58,Male,51,Premium,8.91,3,1,33,0,95.59,2,65.0,20,0.15,1,19.17,7.72,Mobile,17.0,0,3
59,Male,59,Basic,5.97,40,1,10,1,148.15,3,93.0,24,1.67,0,3.15,5.53,Web,16.0,9,15
60,Male,38,Basic,31.73,25,1,41,1,269.01,2,39.0,29,,3,10.92,0.62,Mobile,39.0,0,9
61,Male,39,Standard,43.84,43,0,18,1,16.41,4,,17,2.53,19,16.13,8.99,Mobile,5.0,8,14
62,Male,21,Standard,31.3,41,1,4,1,296.94,3,6.0,29,1.41,18,6.64,1.34,Mobile,27.0,4,2
63,Male,35,Premium,14.6,9,1,22,0,232.76,4,51.0,0,9.0,0,1.52,4.8,Mobile,18.0,9,5
64,Male,22,Premium,9.07,40,1,46,0,111.13,4,76.0,22,1.82,3,2.46,3.65,TV,27.0,2,2
65,Male,36,Standard,36.48,41,2,1,1,109.48,4,42.0,9,4.56,14,6.67,3.7,Mobile,47.0,0,15
66,Female,19,Basic,37.48,8,2,42,0,147.48,1,83.0,3,2.67,9,0.85,2.84,Web,,1,3
67,Female,29,Basic,12.76,0,0,3,0,263.27,2,4.0,6,0.0,0,0.91,9.57,Web,3.0,1,6
68,Male,34,Basic,6.27,15,1,16,0,10.29,1,23.0,26,0.58,12,19.49,0.84,TV,46.0,4,11
69,Female,27,Basic,23.37,45,2,54,0,166.73,3,41.0,30,1.5,11,2.46,8.02,Web,46.0,4,18
70,Female,51,Standard,31.22,12,0,30,0,21.55,1,33.0,18,0.67,17,3.27,3.93,Mobile,31.0,0,3
71,Female,23,Standard,36.77,37,0,58,0,39.1,1,86.0,10,,1,11.82,0.53,Web,15.0,1,1
72,Female,25,Basic,41.45,13,3,29,0,208.75,2,72.0,19,0.68,12,16.3,5.73,Mobile,5.0,3,4
73,Male,68,Premium,32.47,39,1,1,0,74.12,1,,9,4.33,14,3.19,3.72,Mobile,49.0,5,2
74,Female,28,Basic,9.99,22,2,23,0,17.27,1,89.0,30,0.73,6,0.86,2.21,Web,18.0,5,10
75,Male,29,Standard,35.72,17,0,9,1,53.45,3,81.0,23,0.74,18,4.39,3.7,TV,15.0,1,18
76,Female,26,Standard,49.29,27,1,27,1,66.55,1,35.212669338577825,16,1.69,1,10.08,10.713428654837537,Web,,8,13
77,Female,19,Standard,45.75,19,0,42,0,232.09,2,16.0,29,0.66,0,19.83,7.66,TV,22.0,9,15
78,Female,25,Standard,44.23,0,1,31,0,189.35,3,68.0,6,0.0,13,12.36,8.2,TV,39.0,0,1
79,Male,28,Basic,18.6,11,0,32,0,221.86,3,5.0,6,,1,4.44,5.26,TV,38.0,8,5
80,Female,53,Standard,38.79,26,0,17,0,114.1,4,33.0,21,1.24,17,0.22,2.95,Web,9.0,4,13
81,Male,27,Standard,43.3,42,1,23,0,38.37,4,46.07523847773948,26,1.62,14,3.32,7.662412990872005,Mobile,20.0,3,13
82,Female,38,Premium,35.52,12,1,36,0,242.56,4,94.0,0,12.0,4,13.12,5.46,Mobile,16.0,0,13
83,Male,37,Standard,16.28,3,0,29,0,46.42,1,36.0,26,0.12,19,6.37,1.48,Web,18.0,2,3
84,Female,65,Standard,47.92,24,0,4,0,117.89,2,19.0,9,2.67,13,11.1,6.62,Mobile,40.0,6,18
85,Male,25,Standard,25.29,5,1,58,1,82.37,2,57.0,3,1.67,10,11.72,7.81,TV,26.0,0,3
86,Male,53,Premium,10.84,44,1,22,0,92.48,4,75.0,7,6.29,12,3.18,5.49,Mobile,18.0,1,17
87,Female,46,Basic,9.94,21,1,29,0,182.55,1,50.53685668592749,1,,10,8.17,3.895877208554602,Web,,9,17
88,Male,59,Standard,34.14,44,2,3,0,53.48,2,,9,4.89,3,11.07,6.39,Mobile,3.0,4,18
89,Female,29,Standard,24.7,37,0,40,0,136.53,1,93.0,28,1.32,3,17.34,5.37,TV,27.0,6,11
90,Female,31,Standard,9.25,35,1,50,0,193.41,4,,26,,11,15.99,0.83,Mobile,8.0,5,0
91,Female,65,Basic,38.32,2,0,23,0,261.33,1,77.0,1,2.0,9,13.47,3.74,Mobile,33.0,4,18
92,Female,67,Standard,40.97,14,1,2,0,114.51,3,55.0,20,0.7,16,15.54,9.26,Web,23.0,8,2
93,Female,38,Basic,37.64,10,1,14,0,99.01,4,20.0,16,0.62,1,19.17,0.62,Mobile,47.0,7,4
94,Female,39,Standard,14.1,33,1,55,0,113.51,1,86.0,7,4.71,19,15.26,2.84,Web,23.0,4,6
95,Female,38,Standard,36.04,26,1,45,0,152.74,2,94.62018063515666,25,1.04,10,4.08,7.466765017672486,Mobile,6.0,9,6
96,Female,61,Premium,5.48,22,0,0,0,97.36,3,68.0,19,,1,6.72,0.01,TV,,1,11
97,Female,67,Standard,18.73,16,0,9,1,78.88,1,45.0,5,3.2,1,7.36,9.41,Web,38.0,9,4
98,Female,47,Basic,22.95,22,0,44,0,115.71,2,66.0,28,0.79,19,8.75,6.88,Mobile,35.0,7,6
99,Female,56,Basic,42.59,33,0,25,0,234.46,3,31.0,5,,12,12.67,3.79,Mobile,17.0,9,0
100,Male,37,Premium,22.57,20,0,54,1,79.58,3,91.0,29,0.69,19,8.4,0.28,Web,8.0,1,14
101,Male,41,Basic,27.549999999999997,32,1,11,0,254.17,3,3.0,19,1.68,24,9.3,0.46,Mobile,17.0,6,12
102,Female,40,Standard,20.86,4,2,0,1,89.11,3,25.0,20,0.2,16,11.86,2.96,TV,44.0,5,1
103,Female,24,Basic,27.45,16,3,1,0,182.91,1,30.0,26,0.62,14,16.21,6.59,Web,24.0,4,7
104,Female,26,Standard,47.71,0,0,58,0,291.44,4,73.0,5,0.0,13,8.97,0.67,Web,43.0,3,1
105,Female,18,Standard,47.35,6,1,10,0,285.78,4,75.0,16,0.38,0,12.61,8.82,Mobile,14.0,6,3
106,Female,43,Basic,13.14,2,0,11,0,133.22,1,60.0,5,0.4,15,9.3,8.58,Mobile,6.0,1,10
107,Female,55,Basic,13.33,25,0,27,0,24.92,4,16.0,13,1.92,15,19.95,2.85,Mobile,38.0,8,9
108,Female,55,Premium,12.35,15,1,32,0,271.28,2,52.0,6,2.5,10,18.87,1.94,Mobile,7.0,0,5
109,Female,61,Standard,40.5,15,1,41,0,42.44,2,45.0,5,3.0,18,10.82,4.29,Web,6.0,3,19
110,Male,39,Standard,5.27,43,1,2,0,277.45,1,7.0,3,14.33,15,16.31,2.82,Mobile,15.0,1,4
111,Female,61,Premium,10.72,40,0,40,0,221.13,1,74.0,5,8.0,6,17.26,9.5,Web,22.0,5,4
112,Male,27,Premium,29.21,13,4,48,0,280.6,4,71.0,1,13.0,14,0.56,5.83,Web,49.0,3,1
113,Female,23,Basic,16.14,43,1,18,0,201.29,3,29.0,0,43.0,19,18.4,7.36,Web,39.0,4,2
114,Female,34,Premium,9.16,25,1,17,0,298.56,3,82.0,29,0.86,9,17.21,5.31,Mobile,15.0,8,10
115,Male,68,Basic,21.19,26,0,36,0,142.77,4,,21,1.24,17,16.38,8.37,Web,36.0,1,11
116,Female,67,Basic,17.34,47,1,27,0,102.24,3,53.48298456622389,15,3.13,16,11.35,3.827862640417992,TV,34.0,4,18
117,Male,55,Premium,28.0,16,1,30,0,121.03,4,7.0,16,1.0,17,4.56,7.23,Mobile,19.0,5,11
118,Female,41,Basic,49.07,43,1,6,0,108.34,4,79.0,9,4.78,6,10.03,7.68,Mobile,47.0,7,4
119,Female,68,Basic,10.59,3,0,46,0,123.24,3,25.0,19,,8,15.99,3.6,Web,24.0,2,13
120,Male,27,Basic,21.77,16,2,37,0,266.13,2,20.0,5,,13,9.03,0.85,Mobile,43.0,6,6
121,Female,25,Standard,46.94,32,2,57,0,179.66,2,47.0,5,6.4,0,19.75,6.53,Web,49.0,2,1
122,Male,38,Standard,44.46,29,1,4,0,219.08,2,50.0,7,4.14,16,4.53,3.04,Mobile,15.0,3,14
123,Female,23,Standard,22.74,20,1,18,0,89.92,1,61.0,11,1.82,0,18.22,5.84,Mobile,23.0,6,5
124,Male,38,Premium,36.45,16,0,12,0,297.01,3,70.0,10,1.6,10,6.46,8.81,Mobile,38.0,6,4
125,Male,56,Standard,8.95,10,1,38,0,87.82,1,42.0,28,0.36,17,16.77,8.32,Web,34.0,8,18
126,Female,41,Basic,37.06,29,1,27,0,51.91,4,1.0,0,29.0,12,8.69,5.76,Mobile,39.0,1,1
127,Female,50,Premium,48.78,17,3,56,0,234.57,3,20.0,0,17.0,12,16.65,1.09,TV,3.0,2,16
128,Male,35,Basic,29.19,19,0,1,0,252.53,1,61.0,26,0.73,17,11.78,4.48,Mobile,,9,7
129,Female,45,Basic,27.43,33,1,5,0,121.17,3,3.0,7,4.71,19,18.14,7.26,Mobile,44.0,5,14
130,Female,69,Basic,13.43,40,2,14,0,164.62,1,52.0,12,3.33,17,9.57,5.67,Mobile,15.0,9,15
131,Female,49,Standard,33.52,27,0,27,0,127.17,4,25.0,4,6.75,5,18.66,3.29,TV,12.0,2,17
132,Male,29,Basic,31.57,8,2,36,0,91.71,2,84.0,4,2.0,12,2.55,3.08,Mobile,2.0,4,3
133,Male,65,Basic,34.34,43,1,24,0,244.95,1,10.0,9,4.78,5,16.18,6.78,Web,8.0,6,6
134,Male,59,Basic,6.17,30,2,55,1,228.33,1,48.0,18,1.67,7,4.42,6.32,Web,42.0,6,2
135,Male,44,Basic,29.69,44,0,31,0,148.17,1,,9,4.89,17,4.6,5.92,TV,22.0,6,7
136,Male,27,Standard,31.77,15,0,56,0,139.39,4,44.61200991993731,28,0.54,0,1.31,9.350319392261936,TV,23.0,6,6
137,Male,63,Premium,14.34,30,1,54,0,58.15,4,75.0,25,1.2,11,14.64,8.95,Mobile,21.0,5,15
138,Male,69,Standard,14.37,28,0,36,0,193.0,1,27.0,8,3.5,0,12.88,3.14,Mobile,27.0,2,1
139,Male,59,Basic,17.43,12,3,35,1,277.48,1,39.0,25,0.48,11,6.7,2.49,Web,35.0,8,0
140,Male,49,Basic,37.03,22,2,29,1,217.06,2,46.0,7,3.14,13,19.52,9.23,Mobile,15.0,5,9
141,Female,59,Premium,32.28,13,2,44,0,154.35,2,49.0,9,1.44,4,1.16,2.08,Mobile,,2,18
142,Male,43,Basic,43.06,38,0,23,0,16.4,2,44.0,27,1.41,11,15.4,9.77,Mobile,26.0,6,19
143,Female,42,Premium,18.3,1,0,17,0,279.43,3,13.0,23,0.04,1,5.28,2.15,Mobile,42.0,0,2
144,Female,28,Basic,46.04,11,1,0,1,95.87,1,83.0,2,5.5,5,1.34,1.08,Web,41.0,4,13
145,Female,40,Premium,38.47,27,1,2,0,93.49,3,28.0,12,2.25,15,12.73,3.91,Web,14.0,3,0
146,Male,51,Basic,22.78,31,0,6,0,143.53,4,39.0,10,3.1,1,6.58,9.01,Mobile,25.0,9,5
147,Male,69,Standard,9.29,48,1,32,0,131.6,3,73.0,24,2.0,2,9.01,7.31,Mobile,42.0,6,3
148,Male,57,Standard,16.56,23,0,20,0,288.89,4,52.0,4,,14,9.46,5.99,Mobile,,7,8
149,Male,40,Standard,48.05,36,0,13,0,53.68,3,26.0,0,36.0,17,0.81,7.02,Mobile,0.0,7,3
150,Female,46,Basic,18.97,28,0,46,0,208.29,2,96.0,1,28.0,10,10.64,5.2,TV,13.0,3,3
151,Male,48,Standard,19.85,41,0,47,1,36.5,1,53.0,11,3.73,5,0.79,3.18,Web,37.0,3,14
152,Male,24,Standard,13.53,17,0,36,0,86.68,2,39.0,22,0.77,16,3.66,4.97,Mobile,21.0,4,14
153,Male,57,Basic,41.31,2,1,2,0,218.03,4,99.0,12,0.17,4,14.34,3.8,TV,13.0,0,12
154,Male,50,Basic,17.4,12,0,58,0,242.19,3,80.0,16,0.75,9,14.47,7.68,TV,,7,2
155,Male,38,Standard,19.86,12,2,48,0,143.33,1,,1,12.0,10,0.06,1.67,Mobile,37.0,2,1
156,Female,19,Basic,23.65,41,0,36,0,237.86,3,42.0,20,2.05,7,16.98,4.5,Mobile,17.0,7,14
157,Male,35,Standard,24.52,28,1,55,1,280.86,3,58.0,20,1.4,2,0.17,1.07,TV,11.0,2,17
158,Female,64,Basic,23.51,1,0,24,1,281.06,2,25.0,5,0.2,16,19.38,0.43,TV,25.0,5,13
159,Male,50,Standard,27.67,27,0,59,0,106.03,2,57.0,21,1.29,5,11.21,2.32,Mobile,38.0,8,3
160,Female,54,Basic,41.65,47,2,53,1,97.08,2,7.0,29,1.62,0,7.36,1.61,Mobile,10.0,3,4
161,Male,51,Standard,41.87,3,0,32,0,219.3,4,69.0,26,0.12,14,12.14,7.82,Web,42.0,8,6
162,Male,37,Basic,40.92,4,0,12,0,197.96,2,59.0,14,0.29,16,2.97,1.6,TV,33.0,8,0
163,Female,52,Basic,9.55,38,2,52,0,120.72,1,36.933731911089346,14,2.71,7,9.54,2.493540506331529,Mobile,6.0,1,15
164,Female,68,Basic,40.99,40,1,49,0,72.46,3,95.0,12,3.33,1,13.78,5.03,Web,33.0,1,12
165,Female,67,Premium,10.41,4,1,32,1,187.44,4,69.0,14,0.29,14,13.09,3.61,Mobile,23.0,1,15
166,Male,35,Basic,10.61,7,1,28,0,131.92,1,91.0,8,0.88,15,18.15,0.62,Mobile,,2,13
167,Female,63,Standard,47.65,33,1,18,0,43.97,4,81.0,11,3.0,16,5.69,4.17,Web,27.0,6,0
168,Male,41,Basic,41.87,24,1,58,0,193.58,1,37.0,6,4.0,4,1.41,5.69,TV,32.0,6,17
169,Male,25,Basic,29.86,26,0,25,0,210.81,4,,23,1.13,5,7.45,1.18,Web,33.0,4,4
170,Female,47,Standard,44.37,6,1,52,0,112.45,3,,20,0.3,5,2.66,9.1,Web,35.0,2,5
171,Female,61,Standard,49.52,35,1,56,0,250.43,4,12.0,8,4.38,10,17.87,1.11,Web,10.0,8,1
172,Male,27,Premium,32.48,31,0,54,0,26.73,3,,1,31.0,7,19.63,8.31,Mobile,,6,8
173,Male,40,Premium,32.58,20,2,37,0,151.29,4,,6,3.33,14,12.69,7.83,Web,,5,10
174,Female,69,Standard,38.95,46,0,8,0,287.12,4,31.0,1,46.0,3,15.87,8.85,Mobile,,1,8
175,Female,66,Standard,15.45,17,2,45,0,61.19,1,80.0,23,0.74,7,13.93,1.06,Web,1.0,0,15
176,Female,28,Standard,12.52,1,3,29,1,55.84,3,80.0,12,0.08,0,10.96,4.6,Web,,3,14
177,Male,19,Basic,39.18,45,1,21,1,116.72,1,36.0,11,4.09,3,16.57,3.15,Mobile,45.0,8,10
178,Male,43,Premium,20.52,41,0,42,0,84.08,4,,20,2.05,15,17.87,6.86,Web,37.0,8,6
179,Male,53,Standard,11.08,4,0,3,0,70.35,4,0.0,26,0.15,7,10.25,1.87,TV,36.0,0,8
180,Male,50,Standard,19.17,43,1,6,1,285.2,3,54.0,23,1.87,19,16.22,0.9,Mobile,7.0,5,16
181,Male,64,Basic,21.14,41,2,17,1,106.73,3,23.0,20,2.05,18,7.8,2.19,TV,33.0,7,3
182,Male,30,Basic,48.44,49,0,49,0,22.65,2,83.0,14,3.5,2,4.67,9.92,Web,32.0,7,5
183,Female,57,Premium,36.41,37,1,5,0,270.44,3,10.0,2,18.5,14,9.26,2.55,Web,6.0,9,6
184,Male,42,Basic,28.89,27,1,28,1,137.23,1,,18,1.5,17,4.95,2.87,Web,4.0,6,14
185,Male,21,Standard,48.6,30,1,4,1,222.1,3,25.0,5,6.0,16,7.84,7.22,Mobile,,7,3
186,Male,59,Basic,45.64,43,0,5,0,113.37,4,98.0,26,1.65,0,12.81,3.12,Mobile,3.0,6,6
187,Female,36,Premium,28.04,23,0,33,0,280.87,3,27.0,6,3.83,18,3.44,5.28,Web,4.0,9,10
188,Male,35,Basic,45.76,32,0,33,0,89.9,2,81.0,10,3.2,8,14.49,7.51,Mobile,19.0,7,3
189,Male,54,Premium,23.19,38,1,0,1,200.52,4,9.0,22,1.73,15,17.92,3.35,Web,0.0,6,6
190,Female,47,Basic,15.37,11,0,17,0,248.18,3,52.0,2,5.5,9,7.65,3.61,TV,7.0,1,8
191,Male,36,Premium,15.47,38,0,26,0,75.19,4,47.0,1,38.0,6,19.49,2.23,Mobile,43.0,2,15
192,Male,40,Standard,34.8,8,2,9,0,241.45,4,,30,0.27,15,13.78,7.5,Web,4.0,0,9
193,Male,33,Basic,27.55,14,0,38,1,238.72,3,56.0,20,0.7,9,11.51,9.93,Mobile,7.0,0,14
194,Male,18,Standard,34.65,22,2,1,0,289.45,2,81.0,28,0.79,9,6.08,0.62,Web,43.0,2,4
195,Male,29,Basic,35.87,43,1,18,0,277.23,2,97.0,18,2.39,16,0.33,4.07,TV,10.0,8,4
196,Female,41,Basic,6.0,44,3,26,0,119.64,2,84.0,6,7.33,11,8.27,3.43,Mobile,31.0,1,12
197,Female,51,Premium,7.43,21,0,53,1,179.21,2,63.0,10,,16,18.23,3.55,Mobile,19.0,2,6
198,Female,25,Standard,28.97,35,4,21,0,277.96,3,40.0,10,3.5,17,16.08,5.24,Mobile,38.0,7,13
199,Male,35,Basic,13.6,9,1,9,1,6.29,4,40.0,30,0.3,6,19.66,6.59,Mobile,35.0,8,16
200,Male,65,Basic,33.46,27,1,58,0,190.07,4,35.0,28,0.96,11,16.15,4.91,Mobile,37.0,2,11
201,Male,22,Basic,29.85,34,1,56,0,68.53,2,91.0,2,17.0,7,14.59,7.61,Web,26.0,6,17
202,Female,43,Premium,31.36,28,0,43,0,222.94,1,43.0,23,1.22,17,1.74,0.63,Mobile,37.0,1,10
203,Male,47,Basic,18.61,4,0,26,0,239.96,2,80.0,6,,16,19.59,8.01,Web,36.0,1,18
204,Male,30,Premium,33.79,3,1,11,0,215.32,4,69.33747845648102,10,0.3,14,5.84,10.514547228407473,Mobile,22.0,0,17
205,Female,36,Premium,42.33,14,0,14,0,298.84,4,42.0,23,,10,4.88,5.97,TV,27.0,7,19
206,Male,46,Basic,49.91,29,1,49,0,146.38,4,22.0,11,2.64,11,0.59,3.2,Web,,6,4
207,Female,20,Basic,42.73,25,1,54,0,170.6,1,,12,,6,8.03,4.74,Web,8.0,1,13
208,Female,43,Premium,30.09,22,0,0,0,125.65,3,42.0,27,0.81,16,17.89,5.95,Web,3.0,4,13
209,Female,57,Basic,13.7,38,2,37,0,292.33,3,89.0,0,38.0,14,15.39,7.96,Web,49.0,6,6
210,Male,29,Basic,35.67,28,2,40,0,277.21,4,21.0,27,1.04,1,11.72,7.84,Mobile,18.0,5,0
211,Male,19,Basic,47.19,21,1,23,0,296.06,2,17.0,6,3.5,4,14.94,3.47,TV,5.0,5,18
212,Male,28,Standard,14.53,34,1,5,0,295.54,3,62.0,19,1.79,13,1.06,4.33,Web,23.0,2,5
213,Male,61,Standard,16.52,47,0,28,0,269.16,4,64.0,24,1.96,2,3.76,7.65,TV,24.0,9,4
214,Male,45,Basic,11.71,46,1,5,0,279.61,1,13.0,19,2.42,7,9.36,4.28,Web,5.0,9,9
215,Male,35,Basic,38.15,17,1,37,1,40.36,4,92.0,3,5.67,14,13.38,6.35,Mobile,,1,5
216,Male,30,Premium,23.3,34,2,47,0,56.19,4,50.0,2,17.0,4,11.38,9.87,Mobile,43.0,4,13
217,Female,54,Standard,7.82,45,1,14,1,266.13,2,78.0,16,2.81,2,3.07,8.41,Mobile,37.0,8,14
218,Male,39,Standard,44.37,32,0,7,1,219.41,1,46.0,2,16.0,17,16.43,2.18,Mobile,36.0,3,2
219,Female,29,Standard,30.1,6,2,28,0,263.12,1,14.0,9,,4,2.71,4.12,Mobile,,0,0
220,Male,19,Standard,19.9,33,0,1,0,232.16,2,16.0,4,8.25,0,5.02,5.45,Web,22.0,4,8
221,Male,54,Standard,20.48,9,0,10,0,46.18,2,80.0,27,0.33,15,18.94,5.98,Mobile,42.0,3,6
222,Male,24,Basic,18.06,23,1,8,1,275.39,4,90.0,25,0.92,3,18.76,2.98,TV,32.0,5,3
223,Female,43,Basic,25.5,24,1,15,0,232.51,1,59.0,15,1.6,4,3.31,9.2,Mobile,35.0,9,15
224,Female,43,Standard,20.17,47,0,57,0,173.39,4,94.0,16,2.94,10,4.58,9.1,Mobile,25.0,6,18
225,Female,41,Standard,29.66,43,1,23,0,162.05,4,100.0,1,43.0,13,12.87,1.64,TV,26.0,9,10
